name,position_number,bank_number,active,parent_node,tree_number,title_rank,past_title_rank,paid_point,bonus_point,total_paid_point,total_bonus_point,binary_number_1,binary_number_3,binary_number_5,binary_number_7,riseup_binary_bonus,product_free_bonus,matching_bonus,car_bonus,house_bonus,sharing_bonus
Node_214,1,0,True,Node_105,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_215,3,0,True,Node_106,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_216,5,0,True,Node_106,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_217,3,0,True,Node_107,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_218,7,0,True,Node_107,0,0,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_219,7,0,True,Node_108,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_220,7,0,True,Node_108,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_221,5,2,True,Node_109,190,1,0,20790,151400,20790,151400,166,0,0,0,151000,0,400,0,0,0
Node_222,1,2,True,Node_109,166,1,0,20790,131000,20790,131000,146,0,0,0,131000,0,0,0,0,0
Node_223,3,2,True,Node_110,113,1,0,20790,43550,20790,43550,58,0,0,0,43500,0,50,0,0,0
Node_224,5,0,True,Node_110,187,1,0,20790,169200,20790,169200,184,0,0,0,169000,0,200,0,0,0
Node_225,7,2,True,Node_111,170,1,0,20790,113200,20790,113200,128,0,0,0,113000,0,200,0,0,0
Node_226,5,2,True,Node_111,82,0,0,20790,350,20790,350,-2,0,0,0,0,0,350,0,0,0
Node_227,5,2,True,Node_112,191,1,0,20790,169550,20790,169550,184,0,0,0,169000,0,550,0,0,0
Node_228,1,2,True,Node_112,97,0,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_229,3,0,True,Node_113,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_230,7,0,True,Node_113,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_231,5,0,True,Node_114,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_232,3,0,True,Node_114,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_233,1,2,True,Node_115,209,1,0,20790,185200,20790,185200,200,0,0,0,185000,0,200,0,0,0
Node_234,1,0,True,Node_115,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_235,3,0,True,Node_116,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_236,5,0,True,Node_116,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_237,7,2,True,Node_117,139,1,0,20790,40500,20790,40500,54,0,0,0,40500,0,0,0,0,0
Node_238,7,2,True,Node_117,174,1,0,20790,153050,20790,153050,168,0,0,0,153000,0,50,0,0,0
Node_239,5,2,True,Node_118,133,1,0,20790,101200,20790,101200,116,0,0,0,101000,0,200,0,0,0
Node_240,1,2,True,Node_118,182,1,0,20790,149350,20790,149350,164,0,0,0,149000,0,350,0,0,0
Node_241,7,0,True,Node_119,1,0,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_242,5,2,True,Node_119,124,1,0,20790,39000,20790,39000,52,0,0,0,39000,0,0,0,0,0
Node_243,7,2,True,Node_120,82,0,0,20790,400,20790,400,-2,0,0,0,0,0,400,0,0,0
Node_244,3,2,True,Node_120,186,1,0,20790,153450,20790,153450,168,0,0,0,153000,0,450,0,0,0
Node_245,1,0,True,Node_121,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
